date,mood_score
2025-03-01,5
2025-03-02,5
2025-03-03,3
2025-03-04,3
2025-03-05,4
2025-03-06,5
2025-03-07,1
2025-03-08,1
2025-03-09,1
2025-03-10,5
2025-03-11,2
2025-03-12,5
2025-03-13,4
2025-03-14,4
2025-03-15,4
2025-03-16,2
2025-03-17,3
2025-03-18,4
2025-03-19,5
2025-03-20,2
2025-03-21,3
2025-03-22,3
2025-03-23,1
2025-03-24,4
2025-03-25,3
2025-03-26,2
2025-03-27,5
2025-03-28,5
2025-03-29,5
2025-03-30,4
2025-03-31,2
2025-04-01,2
2025-04-02,3
2025-04-03,2
2025-04-04,1
2025-04-05,1
2025-04-06,1
2025-04-07,2
2025-04-08,5
2025-04-09,2
2025-04-10,1
2025-04-11,1
2025-04-12,1
2025-04-13,3
2025-04-14,1
2025-04-15,5
2025-04-16,2
2025-04-17,4
2025-04-18,4
2025-04-19,5
2025-04-20,3
2025-04-21,2
2025-04-22,4
2025-04-23,2
2025-04-24,3
2025-04-25,5
2025-04-26,5
2025-04-27,1
2025-04-28,4
2025-04-29,2
