date,hour,watch_time,video_count,avg_video_length,category
2025-03-01,0,176,4,29,Gaming
2025-03-02,18,62,7,8,News
2025-03-03,18,159,4,8,Education
2025-03-04,0,87,6,12,Entertainment
2025-03-05,22,94,9,28,Gaming
2025-03-06,22,167,9,22,Gaming
2025-03-07,0,148,8,27,Gaming
2025-03-08,18,41,6,23,News
2025-03-09,15,83,4,26,Education
2025-03-10,1,127,1,26,News
2025-03-11,2,69,4,9,Gaming
2025-03-12,10,100,2,14,Education
2025-03-13,18,178,8,27,Gaming
2025-03-14,10,94,2,10,News
2025-03-15,10,90,1,5,Entertainment
2025-03-16,15,76,5,15,Entertainment
2025-03-17,18,171,6,19,News
2025-03-18,18,131,9,7,Gaming
2025-03-19,23,87,7,11,Education
2025-03-20,2,106,4,10,Education
2025-03-21,10,148,8,12,News
2025-03-22,18,127,1,7,News
2025-03-23,2,156,8,24,Entertainment
2025-03-24,0,103,2,7,Entertainment
2025-03-25,15,84,6,14,Education
2025-03-26,15,110,8,18,News
2025-03-27,10,106,5,8,Gaming
2025-03-28,15,46,4,12,Education
2025-03-29,23,114,2,5,News
2025-03-30,1,122,5,20,Education
2025-03-31,0,163,2,11,News
2025-04-01,10,107,9,9,Entertainment
2025-04-02,23,117,9,21,News
2025-04-03,15,30,4,12,Education
2025-04-04,1,173,8,29,Education
2025-04-05,22,95,5,9,Gaming
2025-04-06,2,97,8,7,Entertainment
2025-04-07,23,41,6,17,Education
2025-04-08,22,149,3,29,Entertainment
2025-04-09,15,71,1,27,Education
2025-04-10,22,158,2,15,Entertainment
2025-04-11,23,121,7,23,Education
2025-04-12,2,150,1,28,Education
2025-04-13,1,104,8,6,Entertainment
2025-04-14,22,60,6,9,News
2025-04-15,18,120,3,19,Education
2025-04-16,1,175,4,19,Education
2025-04-17,23,143,3,11,Gaming
2025-04-18,0,38,8,26,News
2025-04-19,22,112,1,22,Gaming
2025-04-20,2,157,8,8,News
2025-04-21,22,166,5,7,Gaming
2025-04-22,2,54,3,7,Gaming
2025-04-23,22,179,4,24,News
2025-04-24,1,168,9,23,Gaming
2025-04-25,15,122,4,20,News
2025-04-26,2,171,8,15,Education
2025-04-27,23,89,3,10,Education
2025-04-28,22,154,2,12,Entertainment
2025-04-29,23,30,3,9,Entertainment
